ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
MNST,MNST,,1M+3M+6M,3,2006-05-12,2006-06-02,21,mid,1.0,1.0,2006-07-06,210.88,210.88,,
MNST,MNST,,1M+3M+6M,3,2006-07-12,2006-07-21,9,mid,1.0,2.0,2006-08-02; 2006-08-23,47.2; 30.8,30.8,,
MNST,MNST,,1M+3M+6M,3,2006-09-28,2006-10-04,6,mid,1.0,2.0,2006-10-11; 2006-10-24,3.4017; 3.5483,3.5483,,
MNST,MNST,,1M+3M+6M,3,2007-10-19,2007-11-07,19,mid,5.0,2.0,2007-10-31; 2007-12-12,3.41; 2.98,2.98,,
MNST,MNST,,1M+3M+6M,3,2008-08-25,2008-10-09,45,mid,4.0,2.0,2008-09-09; 2008-10-31,1.7058; 1.2583,1.2583,,
MNST,MNST,,1M+3M+6M,3,2012-05-09,2012-05-17,8,large_plus,1.0,2.0,2012-05-31; 2012-06-18,6.1642; 6.5833,6.5833,,
MNTA^20,MNTA,,1M+3M+6M,3,2010-07-27,2010-08-12,16,small,2.0,1.0,2010-07-26,26.2,26.2,,
MNTA^20,MNTA,,1M+3M+6M,3,2010-11-01,2010-11-11,10,small,8.0,2.0,2010-11-01; 2010-12-02,17.66; 16.0,16.0,,
MNTA^20,MNTA,,1M+3M+6M,3,2015-04-21,2015-05-12,21,small,2.0,3.0,2015-05-11; 2015-06-08; 2015-06-19,20.75; 22.76; 25.56,25.56,,
MNTA^20,MNTA,,3M+6M,2,2018-05-10,2018-05-21,11,small,14.0,2.0,2018-05-24; 2018-06-05,24.7; 24.9,24.9,,
